cohort,method,treat,coef,lo,hi,p
2기,개입전후(다음날),인간,-0.1402797829441928,-0.3306306135966054,0.050071047708219824,0.14862563038584198
2기,분포시차:당일,인간,-0.1060018027265132,-0.30267218439423704,0.09066857894121062,0.29079218318902944
2기,분포시차:전일,인간,-0.08740536592501905,-0.25408952697401643,0.07927879512397831,0.3040625785045822
2기,FE,인간,-0.10203590530072401,-0.24148972063750726,0.03741791003605924,0.1507891020975926
2기,PSM,인간,-0.02127659574468085,-0.08041063461135435,0.03785744312199264,0.4824398932700347
2기,FE(동료),동료,-0.04726440936228335,-0.19081161388515447,0.09628279516058777,0.5172047932122089
2기,PSM(동료),동료,-0.020833333333333332,-0.20245038213508804,0.16078371546842135,0.8240954422727589
1기,분포시차:당일,동료,-0.08853278537185777,-0.174140155991744,-0.002925414751971528,0.04266846912443114
1기,분포시차:전일,동료,0.05768220667019755,-0.023886678503151584,0.13925109184354667,0.165744759334438
1기,FE,동료,-0.016975582855982732,-0.09000423821847064,0.05605307250650518,0.6478492913212569
1기,PSM,동료,-0.007142857142857143,-0.09959448962074305,0.08530877533502876,0.8800779779632503
2기,ITS 미션종료,감성수준,-0.03557222716554154,-0.29345714884868035,0.22231269451759728,0.7621194546078227
1기,ITS 미션종료,감성수준,-0.5593933521400626,-1.1472746665643527,0.028487962284227564,0.05978941596728845
